,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
509,MMD,-0.18494006,0.010659175,0.9914953698194592,RFPL2,3.0730855,0.2850942,0.7755719728163037,MOGAT1,22.475492,0.07956578,0.9365826146615164,VIL1,1.0969427,0.0481466,0.9615994061817916,AGPAT1,0.30795944,0.079218715,0.9368586566672508,SPG7,0.47251716,0.7783747,0.4363481707077109,SMARCC2,0.6109826,0.33587596,0.7369643979176095,HMBOX1,1.0829324,1.1830354,0.23679511573352152,RP11-216P16.2,-19.923025,-0.002406076,0.9980802309253728
510,CEPT1,0.02895068,0.009631431,0.9923153487759515,LAMP3,1.3350337,0.28500137,0.7756430949748195,CTF1,22.699852,0.07956578,0.9365826146615164,AC092295.7,0.5373333,0.04523644,0.9639188489035054,AC140481.2,2.9177969,0.07834274,0.9375554189841308,GBGT1,1.7467537,0.7769,0.4372177768592568,C14orf80,0.8694146,0.33435094,0.7381147590050231,ATP6V1C1,1.7548302,1.1825479,0.23698834809987257,CTC-548K16.1,-19.8038,-0.002406076,0.9980802309253728
511,PDIA5,0.061384246,0.008221953,0.9934399043692789,ZNF45,0.85383767,0.28435153,0.7761410027424045,ACTN1-AS1,22.37627,0.07956578,0.9365826146615164,STT3A,0.25213978,0.045199603,0.9639482109364571,AC009505.2,2.9065628,0.07834274,0.9375554189841308,ACRBP,1.1995894,0.77432984,0.43873575839490575,RP11-468E2.4,0.87852895,0.33393022,0.7384322033463582,ANAPC4,1.2919844,1.181963,0.23722037401164742,RP11-197N18.7,-19.7609,-0.002406076,0.9980802309253728
512,IGFBP4,0.036273282,0.008016405,0.9936039032019567,JKAMP,0.26624957,0.28382546,0.7765441383372512,JMJD7,22.37627,0.07956578,0.9365826146615164,RP4-612B15.3,0.48791966,0.042694654,0.9659449417872523,RHCE,3.5058537,0.07834274,0.9375554189841308,SETX,0.40063182,0.7729816,0.43953328610831877,MFF,0.33436108,0.33387765,0.7384718870259214,CWC27,0.78530926,1.1790383,0.2383829112814312,ZNF132,-19.672836,-0.002406076,0.9980802309253728
513,TRIP11,0.17472796,0.007252937,0.9942130440343513,UCK1,0.28600588,0.281845,0.7780623643280324,RP11-91A18.4,22.598368,0.07956578,0.9365826146615164,EID2,0.29582733,0.042547304,0.9660624033159559,GIPC2,3.450774,0.07834274,0.9375554189841308,RBBP6,0.11816794,0.77268666,0.439707856169964,MIS18A,0.81008506,0.33224744,0.7397024262029851,MRPL42,0.7497547,1.1786484,0.23853821957541865,NUPR1,-19.980043,-0.002406076,0.9980802309253728
514,VIL1,0.73099166,0.006665655,0.994681616219281,CASC3,0.25010517,0.27980265,0.7796289226565768,LBX2,22.436026,0.07956578,0.9365826146615164,ZNF682,0.1677815,0.04188423,0.9665909892714294,SHPK,3.8032832,0.07834274,0.9375554189841308,ECHDC1,0.022586048,0.77116984,0.4406062734073962,MPV17,0.4592901,0.33045948,0.7410528162880662,MVB12A,1.3207709,1.1759187,0.23962737733939254,MREG,-19.639585,-0.002406076,0.9980802309253728
515,NEUROD2,0.76036394,0.006665655,0.994681616219281,ACD,0.31087646,0.2776365,0.7812914023077155,MYBPC3,22.477072,0.07956578,0.9365826146615164,RP11-706O15.1,0.50528175,0.041700043,0.9667378213187162,RFX4,3.6914086,0.07834274,0.9375554189841308,ATP6V1C1,0.6482785,0.76670367,0.4432577160867034,HIST1H2AC,0.3985378,0.32993358,0.7414501419055575,TAF12,0.41466558,1.1759187,0.23962737733939254,CTA-331P3.1,-19.92709,-0.002406076,0.9980802309253728
516,RP13-314C10.5,0.85244787,0.006665655,0.994681616219281,RNASEH2B,0.054481044,0.27599645,0.7825508025673311,SPATA13-AS1,22.448626,0.07956578,0.9365826146615164,KDM4A-AS1,1.5151696,0.03551134,0.9716720022395201,RP11-510J16.5,4.161172,0.07834274,0.9375554189841308,STAU1,0.51560915,0.7648919,0.44433589554211494,XPNPEP1,0.5764567,0.31673414,0.7514453390830773,CDC40,0.48090044,1.1753337,0.23986122376336183,SYNPO,-20.018581,-0.002406076,0.9980802309253728
517,SUOX,-0.15485476,0.0066069267,0.9947284735413261,DLST,0.27357993,0.27516094,0.7831926032588374,FAM71A,22.376736,0.07956578,0.9365826146615164,CLIP2,1.5140064,0.03551134,0.9716720022395201,DIO1,2.3794167,0.07826657,0.9376160092791542,NFE2L2,0.26332062,0.7524204,0.45179827345359025,TCTA,0.77680904,0.31389442,0.7536012273921816,HNRNPM,0.31811363,1.1739689,0.24040749089801172,RP11-554A11.8,-19.693457,-0.002406076,0.9980802309253728
518,LNP1,-0.032305367,0.0066069267,0.9947284735413261,GPS1,0.17658299,0.2729948,0.7848572171801151,LINC01122,22.409946,0.07956578,0.9365826146615164,RPA4,1.6178607,0.03551134,0.9716720022395201,RP11-983P16.4,2.3784518,0.07826657,0.9376160092791542,ZC3H15,0.084627345,0.74993455,0.45329413233253035,TMEM62,1.4688656,0.3132108,0.7541205252640644,CASP4,0.21272977,1.1694844,0.24220853831451095,MOGAT1,-19.73532,-0.002406076,0.9980802309253728
519,RP11-10K16.1,0.52029854,0.0066069267,0.9947284735413261,ADAL,0.41917828,0.2711381,0.7862848130870947,NUPR1,22.720877,0.07956578,0.9365826146615164,DMPK,1.3968868,0.03551134,0.9716720022395201,PDGFA,2.778723,0.07826657,0.9376160092791542,RELB,0.37002087,0.74572116,0.45583585893898093,NIT2,0.3529796,0.31257972,0.7545999758536267,MOB2,0.52076596,1.1693869,0.24224779664917184,CTC-498J12.3,-19.711056,-0.002406076,0.9980802309253728
520,SAMD14,-0.25095254,0.0065481984,0.9947753308815526,FN3KRP,0.14328842,0.26993126,0.787213136200082,RP11-783K16.13,22.694164,0.07956578,0.9365826146615164,RP11-493L12.4,1.9541583,0.03551134,0.9716720022395201,GCKR,2.195336,0.07826657,0.9376160092791542,ISG20L2,0.51580197,0.74470997,0.4564470642756745,LINC01003,0.5534916,0.31221163,0.7548796990539776,BLVRA,0.00017810123,1.1593455,0.24631540226435855,KLRC3,-19.855415,-0.002406076,0.9980802309253728
521,AC010894.5,-0.07626998,0.0065481984,0.9947753308815526,ZNF195,0.26597118,0.26962182,0.7874512165380851,CTA-331P3.1,22.66777,0.07956578,0.9365826146615164,FCGBP,1.482935,0.03551134,0.9716720022395201,AC022201.5,2.295551,0.07826657,0.9376160092791542,SEC31A,0.25909427,0.7446678,0.4564725411589079,ISCA2,0.2127626,0.30858308,0.7576386855499158,PRPF8,0.61856055,1.1577857,0.24695153376786472,RP4-761J14.8,-19.657469,-0.002406076,0.9980802309253728
522,ANKRD50,-0.08928762,0.0065481984,0.9947753308815526,OAT,0.25826156,0.26835307,0.7884275533818147,AP000282.2,22.694164,0.07956578,0.9365826146615164,RP11-502I4.3,1.5891964,0.03551134,0.9716720022395201,MIR4523,2.320872,0.07826657,0.9376160092791542,ATG7,1.160608,0.74395156,0.4569057704597995,LMF2,0.5074864,0.30668995,0.759079385888435,NOL11,0.80509466,1.1564207,0.24750909206031957,RP11-203B7.2,-19.956947,-0.002406076,0.9980802309253728
523,GATA2,-0.17146835,0.0065481984,0.9947753308815526,PTPRN2,0.19786048,0.26532048,0.7907625809120058,SHOC2,0.03834655,0.07800702,0.9378224669523398,RP13-753N3.1,1.0200989,0.035437666,0.9717307493952326,RBFOX3,2.8211422,0.07826657,0.9376160092791542,GMPPA,0.5867197,0.7432353,0.45733923067713567,ATP6V1C1,0.7180825,0.30653217,0.7591994820834349,GBP1,0.49553913,1.154861,0.2481473799830387,ZNF560,-19.633093,-0.002406076,0.9980802309253728
524,IFT81,-0.016859662,0.0065481984,0.9947753308815526,ORMDL2,0.12337923,0.2635876,0.792097727512385,ADIPOR2,0.13429175,0.07423137,0.940826283723442,MYH10,0.7755083,0.035437666,0.9717307493952326,RP11-230C9.4,2.3120399,0.07826657,0.9376160092791542,RARS,0.54473245,0.7416764,0.45828344183230163,PI4KB,0.53979754,0.30553302,0.7599602260789317,PPP1R2,0.23627728,1.1515462,0.2495075636139813,CTD-2325A15.5,-19.678675,-0.002406076,0.9980802309253728
525,KCNJ14,-0.28877732,0.00648947,0.9948221882397986,DUS3L,0.16851331,0.2626902,0.7927893826911832,FEM1A,0.27137524,0.07423137,0.940826283723442,RP11-252A24.3,0.76271033,0.035437666,0.9717307493952326,JARID2,0.19292746,0.077961884,0.9378583740679821,CEACAM4,2.3530033,0.74024385,0.4591520584431076,DCAF8,0.50374997,0.30416575,0.7610016204388617,GTPBP6,0.73550373,1.1505713,0.24990860734593934,CTD-2033C11.1,-19.8038,-0.002406076,0.9980802309253728
526,C15orf26,-0.26883838,0.00648947,0.9948221882397986,ING5,0.3024504,0.25733674,0.7969188337153605,C16orf74,-0.049305752,0.06636832,0.9470845921637147,MCM10,0.44702953,0.035437666,0.9717307493952326,TMEM87B,0.13357629,0.077619106,0.9381310413359549,CD9,0.6528872,0.73733664,0.46091767130522143,RPL39L,1.0523087,0.3023252,0.7624041811967701,SIN3A,1.3217583,1.1497915,0.25022976639595274,RP3-337O18.9,-19.961933,-0.002406076,0.9980802309253728
527,EDC3,0.25632623,0.005667275,0.9954781930568092,SCAPER,0.39035678,0.2564084,0.7976355057785646,FAM96B,0.052465588,0.06636832,0.9470845921637147,SDCBP2,0.7677346,0.035437666,0.9717307493952326,SAMM50,0.2254088,0.07750485,0.9382219320389886,DNAJC2,0.12240149,0.7370838,0.46107138201204545,TRUB2,0.6502611,0.3017993,0.7628050564188942,SHARPIN,0.7426825,1.1483291,0.2508327162527495,RP11-384C4.7,-19.827085,-0.002406076,0.9980802309253728
528,ATXN7L3B,-0.0040823235,0.004756987,0.9962044876512769,VIPR1,0.44998863,0.25544912,0.7983762461425787,CES4A,0.2256356,0.06636832,0.9470845921637147,ATP9A,0.7642442,0.03536399,0.9717894967043266,ZNF799,0.6285584,0.076705046,0.9388581894310652,CDC37,0.05594866,0.73687315,0.46119949614909805,PDK2,0.70037514,0.3010631,0.7633663886012625,MYO9B,0.53115064,1.145307,0.25208202429261606,FAM71A,-19.636797,-0.002406076,0.9980802309253728
529,DTX3,0.27861664,0.0026427708,0.9978913765303783,PDZD11,0.17419617,0.25544912,0.7983762461425787,ZNF561,-0.10142402,0.06629904,0.9471397465288187,ARHGAP6,1.0406511,0.03536399,0.9717894967043266,FMO4,1.054573,0.07129685,0.9431615053003197,SH3KBP1,0.088337,0.7308481,0.4648719690653821,MED7,0.8216872,0.3006424,0.7636872057339634,GADD45B,0.2934045,1.144332,0.252485950759627,MIR1-2,-19.824135,-0.002406076,0.9980802309253728
530,KLHL6,0.27905023,0.0016737548,0.9986645375382491,RAD51B,0.63610417,0.2551087,0.7986391331681277,KCNA5,3.940424,0.065640904,0.947663725594805,SYP,0.4260342,0.035290316,0.9718482441664834,NEFH,0.83837545,0.07122067,0.9432221275290307,RBPJ,0.15795182,0.7300475,0.4653611411185964,LYPLA1,0.2162089,0.30027428,0.7639679540147548,C21orf33,0.25889963,1.1429672,0.2530522053072637,FAM83C-AS1,-19.731659,-0.002406076,0.9980802309253728
531,RP11-532F6.3,-0.1807855,0.0013801135,0.9988988290336279,BET1,0.31976074,0.25458264,0.7990454580105026,EPB41L4A,3.485006,0.065640904,0.947663725594805,RP11-378J18.3,0.19990648,0.035290316,0.9718482441664834,ARG2,0.7331924,0.07106833,0.943343372972734,LYRM4,0.044258095,0.7280672,0.46657242663588094,SEPT11,0.70748025,0.29943287,0.7646097808513789,BRWD1,0.919915,1.1428697,0.2530926858847634,AC073641.2,-19.792988,-0.002406076,0.9980802309253728
532,PTPRN2,0.081018694,0.00049919,0.9996017040086482,PEMT,0.322678,0.25445887,0.7991410717686153,LINC00610,3.0243523,0.065640904,0.947663725594805,U73166.2,0.154666,0.03521664,0.9719069917813846,PALLD,0.7636397,0.07091599,0.943464619729146,SNCA,0.8162283,0.72393817,0.4691037043379048,PBRM1,0.3685752,0.2959621,0.7672590214650947,HDLBP,1.0783324,1.1402375,0.25418736683405263,CST11,-19.66176,-0.002406076,0.9980802309253728
533,SAMD4B,-0.025167963,-0.0004698259,0.9996251331828324,DHX8,0.3496796,0.25442794,0.7991649756787539,GLB1L3,2.9203424,0.065640904,0.947663725594805,LRBA,0.24389152,0.034774594,0.9722594806605889,LILRA4,0.5456998,0.07076364,0.9435858677954668,TRMT61A,1.1032567,0.7223792,0.47006136252233843,CTC-444N24.11,1.091624,0.29375345,0.768946321319939,CCL3,0.58332145,1.1380928,0.25508176184742914,KCNG2,-19.726976,-0.002406076,0.9980802309253728
534,TCEAL4,0.12181415,-0.0029364119,0.9976570856734771,ABCC10,0.6672095,0.25414944,0.7993801193364931,RP11-424I19.2,3.8073614,0.065640904,0.947663725594805,SNX14,-0.04778231,0.03396417,0.9729057242959758,TBC1D15,0.29419962,0.07057321,0.9437374297161618,GOSR2,0.4157589,0.72233707,0.4700872601571233,C16orf54,0.6690597,0.29280686,0.7696697854975775,RNF113A,0.2542004,1.1378002,0.25520389413384104,RP11-1136J12.1,-19.69995,-0.002406076,0.9980802309253728
535,CIAPIN1,0.10271026,-0.003934792,0.9968604983919905,ERCC6L2,0.49518597,0.2534377,0.7999300000566792,DIO1,3.0234382,0.065640904,0.947663725594805,ZNF350,0.16687864,0.033080067,0.9736107376256613,SDAD1,0.17787036,0.07023044,0.9440102463026983,UBXN4,0.015147326,0.7169861,0.473382658690768,TOP2B,0.64447165,0.28954643,0.7721632490051613,AKAP8,1.5985256,1.1369228,0.2555705348983194,RP11-700J17.2,-19.793552,-0.002406076,0.9980802309253728
536,ATAD3C,-0.11649433,-0.004903808,0.9960873431333668,RFC5,0.24742834,0.25334486,0.8000017309475722,MIR4523,3.081444,0.065640904,0.947663725594805,IQCH-AS1,0.5702114,0.032638017,0.9739632520571002,LRBA,0.14039068,0.069963835,0.9442224415233295,ADAM10,0.33827356,0.7145845,0.47486581706545516,POLDIP2,0.33156684,0.28607565,0.7748201684075549,CAPZB,0.6085775,1.1287338,0.259010171868315,CCDC11,-19.718462,-0.002406076,0.9980802309253728
537,AP003419.16,0.070199095,-0.004903808,0.9960873431333668,TMEM177,0.990839,0.25328296,0.8000495524787953,RP11-53B2.3,2.968986,0.065640904,0.947663725594805,RP11-532F6.3,0.20428552,0.032195967,0.9743157715745244,NCKAP1,2.3384888,0.06611716,0.9472845484915614,ABT1,0.154706,0.71357334,0.47549106718084144,RBM7,0.45849493,0.28407735,0.7763511090590073,MLTK,2.8161247,1.1280513,0.25929824918603184,CTD-2283N19.1,-19.965517,-0.002406076,0.9980802309253728
538,TUBG2,0.4132131,-0.004903808,0.9960873431333668,SLC20A2,0.45940632,0.25275692,0.8004560657434225,RP11-557C18.4,2.9647536,0.065640904,0.947663725594805,ISG20L2,0.12948553,0.030317256,0.9758140346646866,NRN1L,2.256115,0.06611716,0.9472845484915614,C1orf50,0.34965217,0.7102869,0.47752624537857,CELF1,0.5909576,0.2830256,0.7771572168293227,CUL4B,3.0500991,1.1209346,0.2623157113321163,TP63,-19.713602,-0.002406076,0.9980802309253728
539,ACVR2A,0.17545569,-0.004903808,0.9960873431333668,CRTC1,0.55056304,0.25269502,0.8005038943892614,ERBB3,1.7629057,0.06557162,0.9477188826067097,SAMD1,0.3384529,0.029838368,0.9761959587231013,SOX13,2.879873,0.06611716,0.9472845484915614,FAM210B,0.55764437,0.7079274,0.47899033277066205,PAXIP1-AS1,0.5176288,0.2812902,0.778487818942485,LRBA,0.43714496,1.1187898,0.2632298208962156,PTGES3L,-19.729053,-0.002406076,0.9980802309253728
540,TTC28,-0.024041722,-0.004903808,0.9960873431333668,FH,0.10368952,0.25185952,0.8011496542492865,SHPK,1.5988215,0.06557162,0.9477188826067097,DCAF8,0.03575462,0.028217519,0.9774886647456222,ACVR2B,2.6557152,0.06611716,0.9472845484915614,TINF2,0.027883256,0.7035034,0.48174209036930926,RFC5,0.7533363,0.27639958,0.7822411810040778,C5orf15,1.0725226,1.1153777,0.2646886125535216,ASB15,-19.667038,-0.002406076,0.9980802309253728
541,LRRIQ3,-0.3858686,-0.0050212643,0.9959936275796435,NR2C1,0.24540068,0.25031227,0.8023458643887922,CTD-2184C24.2,2.4313486,0.06557162,0.9477188826067097,ZNF528,0.14537187,0.02748077,0.9780762781416485,CLECL1,2.7516005,0.06611716,0.9472845484915614,PIK3R1,0.338605,0.69688845,0.4858726162349223,ZNF45,1.5751299,0.27634698,0.7822815674743329,ARL2,0.6513355,1.1138178,0.26535734113243703,RP1-102G20.5,-20.02131,-0.002406076,0.9980802309253728
542,ZNF841,-0.2936969,-0.0050799926,0.9959467698234279,RNF213,0.04783537,0.24960054,0.8028962768160023,KCNAB1,1.913258,0.06557162,0.9477188826067097,RP11-400F19.6,0.6855811,0.026670344,0.9787226666062799,RP11-196G11.2,2.459618,0.06611716,0.9472845484915614,YWHAG,1.3542116,0.69667774,0.48600447572112926,AGPAT1,0.524399,0.27534783,0.7830490218055584,NARS,0.45720947,1.1121606,0.2660691393817205,GPC2,-19.799229,-0.002406076,0.9980802309253728
543,ZNF468,-0.0013394344,-0.006695019,0.9946581875651268,RABIF,0.13019642,0.24560867,0.805985177474177,FBXL14,1.1422516,0.061553497,0.9509184094359681,DDI2,0.27952313,0.026522994,0.9788401932951568,PPT2-EGFL8,1.4216316,0.066040985,0.9473451922864273,USP33,0.46606815,0.6913268,0.48936018746234267,ERCC6L2,0.81960773,0.27440125,0.7837762786049786,ADD1,0.4817982,1.1040689,0.26956325552481075,CTA-989H11.1,-19.643318,-0.002406076,0.9980802309253728
544,F5,0.2758982,-0.009161605,0.9926901990544792,GRAP,0.3944411,0.24551584,0.8060570486039247,TTC28,0.80080885,0.061345663,0.9510839241723335,CR1,0.34263954,0.026375644,0.978957720443348,RP11-977G19.12,1.6643715,0.066040985,0.9473451922864273,CLIP1,0.6351018,0.6893887,0.49057871284172005,CAPZA2,0.25919294,0.27277103,0.7850292189471085,GNLY,-0.37605384,1.1034839,0.269817056876101,RP11-304M2.5,-19.730616,-0.002406076,0.9980802309253728
545,NIPSNAP3B,0.5263064,-0.011481371,0.990839393080271,NBR1,0.11952118,0.24341159,0.8076865657988412,RP11-178G16.4,0.43583524,0.061276387,0.9511390962204246,BMPR2,0.104838826,0.02556522,0.9796041278546889,RBL1-1,1.4402018,0.066040985,0.9473451922864273,DDB2,0.43654406,0.68875664,0.4909764104399241,BLZF1,0.80853343,0.27177188,0.7857974257688383,CECR5,0.93532634,1.1028016,0.27011336557210996,RP1-59D14.1,-19.923025,-0.002406076,0.9980802309253728
546,ARHGAP11A,0.71736413,-0.011481371,0.990839393080271,PRPS2,0.06506955,0.24248324,0.808405736249506,REPS2,0.19995207,0.06120711,0.9511942685027273,SLC4A8,1.4674957,0.022728732,0.9818666564786059,RP11-544A12.4,2.004332,0.066040985,0.9473451922864273,TNRC18,1.5715767,0.68458545,0.4936055533649414,DDX46,0.21734297,0.27124602,0.786201828992598,PRKACA,1.46797,1.0992919,0.2716407632694222,CTD-2358C21.4,-19.690975,-0.002406076,0.9980802309253728
547,SMTN,0.5657449,-0.011481371,0.990839393080271,RNF25,0.61041737,0.24235947,0.808501637888787,TUBG2,0.43842435,0.06120711,0.9511942685027273,TTC8,0.28412783,0.022655057,0.9819254254781739,ZNF425,1.9372482,0.066040985,0.9473451922864273,SMDT1,0.1284568,0.6845012,0.4936587449228159,UBE3A,0.5103531,0.27072012,0.7866062899050841,PPP6C,0.34310767,1.0957823,0.27317406519611187,LBX2,-19.695948,-0.002406076,0.9980802309253728
548,RP11-141B14.1,1.3040026,-0.011481371,0.990839393080271,DPH6,0.3691614,0.24235947,0.808501637888787,C8orf44,0.005295159,0.060999274,0.9513597867522673,ZNF587B,0.5649242,0.022581382,0.9819841945758339,SCIN,1.3363692,0.06596482,0.9474058363863603,DSCR3,0.3175785,0.68412197,0.49389814489963424,MYOM2,1.9783918,0.26945803,0.7875772308447868,SMARCD1,0.8865319,1.0912977,0.2751418825652632,RP4-555D20.2,-19.861586,-0.002406076,0.9980802309253728
549,RP11-324I22.4,0.13522099,-0.011540099,0.9907925378306011,ZNF350,0.45270205,0.23994577,0.8103722931896418,GYG1,0.05765997,0.058955573,0.9529874935248769,LGALSL,-0.1858933,0.022434033,0.9821017330641546,CCDC3,0.9576656,0.06596482,0.9474058363863603,HPRT1,0.09704919,0.67860246,0.4973897669841859,ATP6V0E2,0.3325837,0.26872182,0.7881437656657968,ANKRD27,2.0337012,1.0906154,0.27544217916696934,RP11-354M20.3,-19.684063,-0.002406076,0.9980802309253728
550,CTD-2302E22.4,-0.5168618,-0.011598827,0.9907456826126861,HCFC2,1.10483,0.23945066,0.8107561516404946,NMNAT3,1.1611094,0.058366712,0.9534565304773621,BLZF1,0.21801223,0.02143942,0.9828951278952509,TMEM116,0.29817033,0.06489841,0.9482548856212817,C14orf80,0.7920897,0.66849047,0.5038205813904763,MED9,0.8782126,0.2678804,0.7887913712740569,BOLA1,0.93081343,1.0879831,0.27660256067770583,SEMA3D,-19.639585,-0.002406076,0.9980802309253728
551,RP1-266L20.2,-0.22727215,-0.011598827,0.9907456826126861,ATXN3,0.17674965,0.23941971,0.810780144305714,IL1RAP,0.81941843,0.057466097,0.9541739122375291,FBXW4,-0.07047165,0.020702671,0.9834828387214968,LONRF1,0.60494506,0.064098604,0.9488917111633188,LMF2,0.52651566,0.6662574,0.5052466120846442,TPD52L2,0.2645094,0.26761746,0.7889937779845757,RABIF,0.887051,1.0853509,0.27776627005917,RP4-545C24.1,-19.826494,-0.002406076,0.9980802309253728
552,MYH10,-0.29079068,-0.011598827,0.9907456826126861,POLR3K,0.104038835,0.23907933,0.8110440753503406,C16orf13,0.09305006,0.055734146,0.9555535964002742,RCHY1,0.086055405,0.020223783,0.9838648555855793,ZNF682,0.5176161,0.063717745,0.9491949729214448,RP11-468E2.4,0.6566706,0.66596246,0.5054351145790343,MGAM,24.776493,0.26735455,0.7891961989382651,BBX,0.09437468,1.0850585,0.277895776589417,ACTA2-AS1,-19.635406,-0.002406076,0.9980802309253728
553,ZNF594,-0.45803428,-0.011657555,0.990698827426688,TMEM138,0.1658578,0.23799625,0.8118839987101155,ECSIT,0.004320859,0.055076007,0.9560779115269578,AC074138.3,0.5417239,0.020186946,0.9838942416525641,PLEKHA3,0.18193522,0.06307029,0.9497105347768302,PF4,0.6616708,0.66596246,0.5054351145790343,SLC25A12,1.1542662,0.26462,0.7913022180064694,ZNF593,1.0784211,1.0842785,0.2782413282990438,RP11-96C23.15,-19.940125,-0.002406076,0.9980802309253728
554,ATP9A,-0.65235835,-0.011657555,0.990698827426688,CEP85L,0.22634514,0.23709886,0.8125800992821154,PXMP4,0.110150054,0.054487143,0.9565470517044196,PHACTR4,-0.0074018636,0.018160883,0.9855105078846947,U2SURP,0.056564335,0.062498998,0.9501654597873163,C5orf15,0.26278028,0.6656675,0.5056236541018522,RP11-400F19.6,1.0701588,0.263726,0.7919910556186165,CELF1,0.6104327,1.0838885,0.2784142137783506,RP11-481J2.2,-19.7555,-0.002406076,0.9980802309253728
555,PVALB,-0.6199402,-0.011657555,0.990698827426688,RASD1,0.957852,0.23703697,0.8126281116842438,GYS1,0.19442084,0.05317086,0.9575957721716858,CHPF2,0.12397183,0.01805037,0.9855986696315359,TMEM177,-0.01089651,0.062346656,0.9502867758728777,SDPR,0.6356192,0.66335016,0.5071063234595619,DIS3,0.7190236,0.26230615,0.793085425461272,SCFD1,0.4137462,1.0833036,0.27867367904089224,AP000282.2,-19.95341,-0.002406076,0.9980802309253728
556,RP11-493L12.4,-0.80966485,-0.011657555,0.990698827426688,ANKRD54,0.16846591,0.23691319,0.8127241386013841,PF4,-0.30052757,0.052408803,0.9582029597912434,DHX34,0.24950266,0.016061146,0.9871856101044679,ARMC7,0.17329949,0.061432593,0.951014696485962,DHRS4,0.85965294,0.66183335,0.5080780333200452,U2SURP,0.27763465,0.2612544,0.7938963327303865,PIGF,1.1796857,1.0833036,0.27867367904089224,CCNB3,-19.981882,-0.002406076,0.9980802309253728
